Delémont,ab,—,—,41,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Moutier,an,—,—,51,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Moutier,ab,—,—,51,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Grenchen Nord,an,—,—,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Grenchen Nord,ab,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Biel/Bienne,an,—,—,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Biel/Bienne,ab,—,—,48,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Grenchen Nord,an,—,—,58,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Grenchen Nord,ab,—,—,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Moutier,an,—,—,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Moutier,ab,—,—,8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Delémont,an,—,—,18,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Delémont,ab,—,—,21,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Laufen,an,—,—,35,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Laufen,ab,—,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Basel SBB,an,—,—,56,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
IR 65,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Le Locle,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,28n
La Chaux-de-Fonds,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35n
La Chaux-de-Fonds,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37n
St-Imier,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,50n
St-Imier,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51n
Courtelary,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56n
Courtelary,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,57n
Sonceboz-Sombeval,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3i
Sonceboz-Sombeval,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4i
Biel/Bienne,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17i
Biel/Bienne,ab,—,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,7,34
Lyss,an,—,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,14,42
Lyss,ab,—,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,16,43
Münchenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37,38,38,38,25,—
Münchenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38,39,39,39,25,—
Bern,an,—,44,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,48,48,48,48,34,1
Bern,ab,—,16,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12,56,53
Münchenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,20,20,20,5,—
Münchenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,20,20,20,5,—
Lyss,an,—,31,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,13,10
Lyss,ab,—,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,11
Biel/Bienne,an,—,41,39,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,23,20
Biel/Bienne,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35i
Sonceboz-Sombeval,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,47i
Sonceboz-Sombeval,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,48i
Courtelary,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,54i
Courtelary,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55i
St-Imier,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0n
St-Imier,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1n
La Chaux-de-Fonds,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14n
La Chaux-de-Fonds,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,15n
Le Locle,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23n
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Biel/Bienne,ab,—,49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,37,—
Lyss,an,—,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,44,—
Lyss,ab,—,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,46,—
Münchenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7,8,8,8,55,—
Münchenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8,9,9,9,55,—
Bern,an,—,14,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,4,—
Bern,ab,—,46,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,42,42,42,42,26,—
Münchenbuchsee,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49,50,50,50,35,—
Münchenbuchsee,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49,50,50,50,35,—
Lyss,an,—,1,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,43,—
Lyss,ab,—,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,—
Biel/Bienne,an,—,11,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,53,—
IR 66,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Le Locle,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8n
La Chaux-de-Fonds,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,15n
La Chaux-de-Fonds,ab,—,—,2,2,2,2,2,2,2,2,2,2,2,—,—,—,—,—,—,—,—,—,—,17n
Les Hauts-Geneveys,an,—,—,9,9,9,9,8,9,9,9,8,9,9,—,—,—,—,—,—,—,—,—,—,25n
Les Hauts-Geneveys,ab,—,—,9,9,9,9,8,9,9,9,8,9,9,—,—,—,—,—,—,—,—,—,—,26n
Les Geneveys-sur-Coffrane,an,—,—,13,13,13,13,12,13,13,13,12,13,13,—,—,—,—,—,—,—,—,—,—,29n
Les Geneveys-sur-Coffrane,ab,—,—,14,14,14,14,14,14,14,14,14,14,14,—,—,—,—,—,—,—,—,—,—,30n
Chambrelien,an,—,—,19,19,19,19,19,19,19,19,19,19,19,—,—,—,—,—,—,—,—,—,—,34n
Chambrelien,ab,—,—,21,21,21,21,21,21,21,21,21,21,21,—,—,—,—,—,—,—,—,—,—,38n
Neuchâtel,an,—,—,30,30,30,30,30,29,30,30,30,30,30,—,—,—,—,—,—,—,—,—,—,48n
Neuchâtel,ab,—,—,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,43,43,0,56n
Ins,an,—,—,42,42,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,53,53,10,6i
Ins,ab,—,—,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,54,54,11,7i
Kerzers,an,—,—,49,49,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,17,13i
Kerzers,ab,—,—,49,49,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1,1,19,14i
Gümmenen,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,6,24,18i
Gümmenen,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7,7,24,19i
Bern Brünnen Westside,an,—,—,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern Brünnen Westside,ab,—,—,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern Bümpliz Nord,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17,17,34,—
Bern Bümpliz Nord,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,18,18,34,—
Bern,an,—,—,8,8,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,23,23,39,33i
Bern,ab,—,—,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,37,37,20,20i
Bern Bümpliz Nord,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42,42,24,—
Bern Bümpliz Nord,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42,42,25,—
Bern Brünnen Westside,an,—,—,59,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bern Brünnen Westside,ab,—,—,59,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gümmenen,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,52,52,35,32i
Gümmenen,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53,53,36,33i
Kerzers,an,—,—,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,58,58,41,37i
Kerzers,ab,—,—,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,11,0,0,43,38i
Ins,an,—,—,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16,5,5,48,44i
Ins,ab,—,—,18,18,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,17,5,6,49,45i
Neuchâtel,an,—,—,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,17,17,59,55i
Neuchâtel,ab,—,—,29,29,29,29,29,29,29,29,29,29,29,—,—,—,—,—,—,—,—,—,—,4n
Chambrelien,an,—,—,37,37,37,37,37,37,37,37,38,38,38,—,—,—,—,—,—,—,—,—,—,11n
Chambrelien,ab,—,—,39,39,39,39,39,39,39,39,40,40,40,—,—,—,—,—,—,—,—,—,—,15n
Les Geneveys-sur-Coffrane,an,—,—,44,44,44,44,44,44,44,44,44,44,44,—,—,—,—,—,—,—,—,—,—,21n
Les Geneveys-sur-Coffrane,ab,—,—,45,45,45,45,45,45,45,45,45,45,45,—,—,—,—,—,—,—,—,—,—,22n
Les Hauts-Geneveys,an,—,—,48,48,48,48,48,48,48,48,48,48,48,—,—,—,—,—,—,—,—,—,—,26n
Les Hauts-Geneveys,ab,—,—,49,49,49,49,49,49,49,49,49,49,49,—,—,—,—,—,—,—,—,—,—,27n
La Chaux-de-Fonds,an,—,—,57,57,57,57,57,57,57,57,57,57,57,—,—,—,—,—,—,—,—,—,—,34n
La Chaux-de-Fonds,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36n
Le Locle,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43n
RE 6,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,
Le Locle,ab,—,19,20,20,20,20,20,21,21,21,21,21,21,50,50,50,50,50,50,50,50,52,7,
Le Crêt-du-Locle,an,—,22,23,23,23,23,23,23,23,23,23,23,23,53,53,53,53,53,53,53,53,—,—,
Le Crêt-du-Locle,ab,—,23,23,23,23,23,23,23,23,23,23,23,23,53,53,53,53,53,53,53,53,—,—,
La Chaux-de-Fonds Les Forges,an,—,—,26,26,26,26,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds Les Forges,ab,—,—,26,26,26,26,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,an,—,27,29,29,29,29,29,29,29,29,29,29,29,58,58,58,58,58,58,58,58,58,13,
La Chaux-de-Fonds,ab,—,31,32,32,32,32,32,32,32,32,32,32,32,2,2,2,2,1,1,1,1,1,16,
Cernier Val-de-Ruz,an,—,37,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,ab,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Les Hauts-Geneveys,an,—,—,39,39,39,39,39,39,39,39,39,39,39,9,9,9,9,8,8,8,8,8,23,
Les Hauts-Geneveys,ab,—,—,39,39,39,39,39,39,39,39,39,39,39,10,10,10,10,9,9,9,9,9,23,
Les Geneveys-sur-Coffrane,an,—,—,43,43,42,42,42,42,42,42,42,43,43,—,—,—,—,—,—,—,—,—,26,
Les Geneveys-sur-Coffrane,ab,—,—,44,44,44,44,44,44,44,44,44,44,44,—,—,—,—,—,—,—,—,—,28,
Chambrelien,an,—,—,49,49,49,49,49,49,49,49,49,49,49,18,18,18,18,17,17,17,17,17,35,
Chambrelien,ab,—,—,51,51,51,51,51,51,51,51,51,51,51,20,20,20,20,20,19,19,20,20,38,
Neuchâtel,an,—,45,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,29,29,30,30,48,
Neuchâtel,ab,—,16,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,31,31,31,11,
Chambrelien,an,—,—,7,7,7,7,7,7,7,7,8,8,8,40,40,40,40,40,40,39,39,39,19,
Chambrelien,ab,—,—,9,9,9,9,9,9,9,9,10,10,10,42,42,42,42,43,42,42,42,42,22,
Les Geneveys-sur-Coffrane,an,—,—,15,15,14,14,14,14,14,14,14,14,14,—,—,—,—,—,—,—,—,—,27,
Les Geneveys-sur-Coffrane,ab,—,—,15,15,15,15,15,15,15,15,15,15,15,—,—,—,—,—,—,—,—,—,29,
Les Hauts-Geneveys,an,—,—,19,19,19,19,19,19,19,19,19,19,19,50,50,50,50,51,50,50,50,50,33,
Les Hauts-Geneveys,ab,—,—,19,19,19,19,19,19,19,19,19,19,19,51,51,51,51,52,51,51,51,51,33,
Cernier Val-de-Ruz,an,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,ab,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,an,—,30,27,27,27,27,27,27,27,27,27,27,27,58,58,58,58,59,59,59,59,59,42,
La Chaux-de-Fonds,ab,—,33,31,31,31,31,31,31,31,31,31,31,31,1,1,1,1,2,2,2,2,2,45,
La Chaux-de-Fonds Les Forges,an,—,—,33,33,33,33,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds Les Forges,ab,—,—,33,33,33,33,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Crêt-du-Locle,an,—,37,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,7,7,7,7,—,—,
Le Crêt-du-Locle,ab,—,37,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,7,7,7,7,—,—,
Le Locle,an,—,42,40,40,40,40,40,39,39,39,39,39,39,9,9,9,9,10,10,10,10,8,51,
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Le Locle,ab,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Crêt-du-Locle,an,—,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Crêt-du-Locle,ab,—,53,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,an,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,ab,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,an,—,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,ab,—,8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Neuchâtel,an,—,15,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Neuchâtel,ab,—,46,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,an,—,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Cernier Val-de-Ruz,ab,—,52,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,an,—,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
La Chaux-de-Fonds,ab,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Crêt-du-Locle,an,—,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Crêt-du-Locle,ab,—,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
Le Locle,an,—,12,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
IC 6,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Basel SBB,ab,—,35n,30n,28n,28n,28n,28n,28n,28n,31n,31n,31n,31n,31n,31n,31n,31n,31n,28n,28n,30n,0i,4i,56n
Liestal,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37n,37n,39n,—,—,—
Liestal,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38n,38n,40n,—,—,—
Olten,an,—,59n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,55n,56n,56n,58n,24i,28i,25i
Olten,ab,—,1i,58n,58n,58n,58n,58n,58n,57n,57n,57n,57n,57n,59n,59n,59n,59n,59n,59n,0i,0i,26i,31i,27i
Bern,an,—,28i,26i,26i,26i,26i,26i,26i,24i,24i,24i,24i,24i,27i,27i,27i,27i,27i,27i,27i,27i,56i,11n,9n
Bern,ab,—,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,34i,35i,35i,9n,22n,21n
Thun,an,—,52i,53i,53i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,52i,29n,41n,41n
Thun,ab,—,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,31n,43n,43n
Spiez,an,—,3n,3n,3n,3n,3n,3n,3n,2n,2n,2n,2n,2n,2n,2n,2n,2n,2n,2n,2n,2n,41n,53n,52n
Spiez,ab,—,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,5n,43n,56n,54n
Frutigen,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,54n,7i,5i
Frutigen,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55n,8i,7i
Kandersteg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11i,24i,23i
Kandersteg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12i,25i,25i
Goppenstein,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23i,36i,36i
Goppenstein,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,24i,37i,37i
Visp,an,—,30n,31n,31n,31n,31n,31n,31n,30n,30n,30n,30n,30n,31n,31n,31n,31n,31n,31n,31n,31n,—,—,—
Visp,ab,—,32n,33n,33n,33n,33n,33n,33n,32n,32n,32n,32n,32n,32n,32n,32n,32n,32n,32n,32n,32n,—,—,—
Brig,an,—,40n,41n,41n,41n,41n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,40n,47i,0n,0n
Brig,ab,—,20i,18i,18i,18i,18i,18i,18i,20i,20i,20i,20i,20i,20i,20i,20i,20i,20i,20i,20i,20i,13i,0i,54n
Visp,an,—,27i,25i,25i,25i,25i,25i,25i,26i,26i,26i,26i,26i,26i,26i,26i,26i,26i,26i,26i,26i,—,—,—
Visp,ab,—,29i,27i,27i,27i,27i,27i,27i,28i,28i,28i,28i,28i,28i,28i,28i,28i,28i,28i,28i,28i,—,—,—
Goppenstein,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35i,22i,17i
Goppenstein,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36i,23i,18i
Kandersteg,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,47i,33i,29i
Kandersteg,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,48i,34i,31i
Frutigen,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4n,51i,47i
Frutigen,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6n,52i,48i
Spiez,an,—,54i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,53i,17n,3n,1n
Spiez,ab,—,56i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,54i,19n,6n,3n
Thun,an,—,5n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,3n,29n,15n,12n
Thun,ab,—,7n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,4n,5n,31n,16n,14n
Bern,an,—,26n,25n,25n,24n,24n,24n,24n,23n,23n,23n,23n,23n,23n,23n,23n,23n,23n,23n,23n,23n,51n,37n,34n
Bern,ab,—,32n,33n,36n,38n,36n,36n,36n,36n,36n,36n,36n,36n,34n,34n,34n,34n,34n,34n,34n,34n,4i,49n,45n
Olten,an,—,58n,0i,3i,3i,3i,3i,3i,3i,3i,2i,2i,2i,0i,0i,0i,0i,0i,0i,0i,0i,33i,29i,26i
Olten,ab,—,0i,4i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,5i,2i,35i,32i,28i
Liestal,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,20i,20i,17i,—,—,—
Liestal,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21i,21i,19i,—,—,—
Basel SBB,an,—,25i,29i,32i,32i,32i,32i,32i,32i,29i,29i,29i,29i,29i,29i,29i,29i,29i,32i,32i,29i,59i,56i,58i
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Basel SBB,ab,—,—,58n,58n,56n,56n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27n,—,—
Liestal,an,—,—,8i,8i,6i,6i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35n,—,—
Liestal,ab,—,—,8i,8i,7i,7i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,36n,—,—
Olten,an,—,—,25i,25i,25i,25i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,53n,—,—
Olten,ab,—,—,29i,29i,29i,29i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55n,—,—
Bern,an,—,—,56i,56i,56i,56i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,25i,—,—
Bern,ab,—,—,7n,7n,7n,7n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39i,—,—
Thun,an,—,—,26n,26n,25n,25n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,59i,—,—
Thun,ab,—,—,27n,27n,26n,26n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1n,—,—
Spiez,an,—,—,37n,37n,36n,36n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11n,—,—
Spiez,ab,—,—,38n,38n,36n,36n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13n,—,—
Visp,an,—,—,4i,4i,2i,2i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Visp,ab,—,—,5i,6i,3i,3i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Brig,an,—,—,13i,13i,11i,11i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11i,—,—
Brig,ab,—,—,45i,45i,48i,48i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49n,—,—
Visp,an,—,—,52i,52i,55i,55i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Visp,ab,—,—,54i,54i,57i,57i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spiez,an,—,—,21n,21n,23n,23n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,47i,—,—
Spiez,ab,—,—,22n,22n,23n,23n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,49i,—,—
Thun,an,—,—,31n,31n,34n,34n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,59i,—,—
Thun,ab,—,—,33n,33n,34n,34n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1n,—,—
Bern,an,—,—,53n,53n,54n,54n,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21n,—,—
Bern,ab,—,—,4i,4i,4i,4i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35n,—,—
Olten,an,—,—,30i,30i,30i,30i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4i,—,—
Olten,ab,—,—,33i,33i,33i,33i,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6i,—,—
